 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:mNC:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,37769.160,68.072,2571011.784,49894463.000
2,A-slice:0001-0309:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,24.889,368.625,9174.532,178046.000
3,A-slice:0002-0323:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,11.749,214.768,2523.221,48967.000
4,A-slice:0003-0344:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,10.563,166.522,1759.045,34137.000
5,A-slice:0004-0366:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,14.634,157.725,2308.190,44794.000
6,A-slice:0005-0373:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,16.850,228.624,3852.308,74760.000
7,A-slice:0006-0377:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,15.304,228.101,3490.884,67746.000
8,A-slice:0007-0420:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,35.710,343.827,12277.918,238272.000
9,A-slice:0008-0425:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,34.988,438.560,15344.409,297782.000
10,A-slice:0009-0423:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,29.423,320.567,9432.074,183044.000
11,A-slice:0010-0434:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,12.676,179.923,2280.725,44261.000
12,A-slice:0011-0442:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,28.959,298.662,8649.040,167848.000
13,A-slice:0012-0442:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,29.629,380.856,11284.439,218992.000
14,A-slice:0013-0447:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,32.979,293.983,9695.130,188149.000
15,A-slice:0014-0445:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,32.618,367.134,11975.133,232396.000
16,A-slice:0015-0445:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,14.892,343.093,5109.306,99154.000
17,A-slice:0016-0452:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,52.508,592.224,31096.515,603476.000
18,A-slice:0017-0457:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,36.586,434.370,15891.698,308403.000
19,A-slice:0018-0451:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,24.682,462.902,11425.525,221730.000
20,A-slice:0019-0453:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,29.217,281.093,8212.692,159380.000
21,A-slice:0020-0453:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,29.835,368.145,10983.716,213156.000
22,A-slice:0021-0453:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,15.613,319.152,4983.009,96703.000
23,A-slice:0022-0456:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,19.633,239.218,4696.456,91142.000
24,A-slice:0023-0455:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,30.093,453.985,13661.729,265127.000
25,A-slice:0024-0455:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,15.150,298.435,4521.154,87740.000
26,A-slice:0025-0458:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,12.779,193.956,2478.596,48101.000
27,A-slice:0026-0458:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,10.924,160.967,1758.427,34125.000
28,A-slice:0027-0465:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,26.847,425.012,11410.118,221431.000
29,A-slice:0028-0468:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,14.119,227.741,3215.461,62401.000
30,A-slice:0029-0474:c:1/3 z:5/6 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb6_11,25.971,478.196,12419.056,241011.000
