 ,Label,Area,Mean,IntDen,RawIntDen
1,A-slice:pNC:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,15956.316,77.251,1232635.103,23921192.000
2,A-slice:0001-0527:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,23.085,401.714,9273.571,179968.000
3,A-slice:0002-0542:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,45.036,377.773,17013.536,330174.000
4,A-slice:0003-0540:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,27.259,381.108,10388.556,201606.000
5,A-slice:0004-0542:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,27.826,330.504,9196.484,178472.000
6,A-slice:0005-0587:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,27.516,345.519,9507.461,184507.000
7,A-slice:0006-0585:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,32.257,394.529,12726.375,246975.000
8,A-slice:0007-0596:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,30.299,449.223,13611.025,264143.000
9,A-slice:0008-0598:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,17.159,425.225,7296.506,141600.000
10,A-slice:0009-0632:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,26.795,413.848,11089.092,215201.000
11,A-slice:0010-0645:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,29.165,334.673,9760.881,189425.000
12,A-slice:0011-0661:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,46.428,409.552,19014.510,369006.000
13,A-slice:0012-0668:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,34.112,326.861,11149.948,216382.000
14,A-slice:0013-0681:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,25.971,350.383,9099.661,176593.000
15,A-slice:0014-0695:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,31.690,380.468,12057.168,233988.000
16,A-slice:0015-0698:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,36.019,369.167,13296.955,258048.000
17,A-slice:0016-0709:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,26.125,396.890,10368.820,201223.000
18,A-slice:0017-0724:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,23.085,330.217,7623.046,147937.000
19,A-slice:0018-0847:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,36.483,363.915,13276.550,257652.000
20,A-slice:0019-0983:c:1/4 - 20210121_BRE;H2Bd2EGFP_Pax7;RFP;d2EGFP_Emb9_3ss_sec2,29.011,421.366,12224.173,237229.000
