,ROI,Count,Image,ExptDate,Treatment,Stains,Embryo,Somites,Section,Channel,EmbID
0,Cntl,31,20210511_pCAGdnBMPR1A_Snai2;RFP;Cad6B;BF_Emb3_8ss_sec1_Snai2,20210511,pCAGdnBMPR1A,Snai2;RFP;Cad6B;BF,Emb3,8ss,sec1,Snai2,20210511_Emb3_Snai2
1,Expt,26,20210511_pCAGdnBMPR1A_Snai2;RFP;Cad6B;BF_Emb3_8ss_sec1_Snai2,20210511,pCAGdnBMPR1A,Snai2;RFP;Cad6B;BF,Emb3,8ss,sec1,Snai2,20210511_Emb3_Snai2
0,Cntl,17,20181125_pCAGdnBMPR1AFLAG_NC11m3eGFPSnai2FLAG_Emb2_6ss_sec3_Snai2,20181125,pCAGdnBMPR1A,NC11m3eGFPSnai2FLAG,Emb2,6ss,sec3,Snai2,20181125_Emb2_Snai2
1,Expt,12,20181125_pCAGdnBMPR1AFLAG_NC11m3eGFPSnai2FLAG_Emb2_6ss_sec3_Snai2,20181125,pCAGdnBMPR1A,NC11m3eGFPSnai2FLAG,Emb2,6ss,sec3,Snai2,20181125_Emb2_Snai2
0,Cntl,15,20181125_pCAGdnBMPR1AFLAG_NC11m3eGFPSox9Pax7_Emb6_8ss_sec2_Sox9,20181125,pCAGdnBMPR1A,NC11m3eGFPSox9Pax7,Emb6,8ss,sec2,Sox9,20181125_Emb6_Sox9
1,Expt,15,20181125_pCAGdnBMPR1AFLAG_NC11m3eGFPSox9Pax7_Emb6_8ss_sec2_Sox9,20181125,pCAGdnBMPR1A,NC11m3eGFPSox9Pax7,Emb6,8ss,sec2,Sox9,20181125_Emb6_Sox9
0,Cntl,20,20181125_pCAGdnBMPR1AFLAG_NC11m3eGFPSox9Pax7_Emb6_8ss_sec3_Sox9,20181125,pCAGdnBMPR1A,NC11m3eGFPSox9Pax7,Emb6,8ss,sec3,Sox9,20181125_Emb6_Sox9
1,Expt,13,20181125_pCAGdnBMPR1AFLAG_NC11m3eGFPSox9Pax7_Emb6_8ss_sec3_Sox9,20181125,pCAGdnBMPR1A,NC11m3eGFPSox9Pax7,Emb6,8ss,sec3,Sox9,20181125_Emb6_Sox9
0,Cntl,13,20210511_pCAGdnBMPR1A_Snai2;RFP;Cad6B;BF_Emb2_8ss_sec2_Snai2,20210511,pCAGdnBMPR1A,Snai2;RFP;Cad6B;BF,Emb2,8ss,sec2,Snai2,20210511_Emb2_Snai2
1,Expt,23,20210511_pCAGdnBMPR1A_Snai2;RFP;Cad6B;BF_Emb2_8ss_sec2_Snai2,20210511,pCAGdnBMPR1A,Snai2;RFP;Cad6B;BF,Emb2,8ss,sec2,Snai2,20210511_Emb2_Snai2
0,Cntl,19,20210512_pCAGdnBMPR1A_Sox9;RFP;Pax7;BF_Emb2_7ss_sec2_Sox9,20210512,pCAGdnBMPR1A,Sox9;RFP;Pax7;BF,Emb2,7ss,sec2,Sox9,20210512_Emb2_Sox9
1,Expt,15,20210512_pCAGdnBMPR1A_Sox9;RFP;Pax7;BF_Emb2_7ss_sec2_Sox9,20210512,pCAGdnBMPR1A,Sox9;RFP;Pax7;BF,Emb2,7ss,sec2,Sox9,20210512_Emb2_Sox9
