Gene_ID	Ctrl_rep1	Ctrl_rep2	dnBMPR1A_rep1	dnBMPR1A_rep2
ENSGALG00000054818	0	0	0	1
ENSGALG00000053455	2	2	9	0
ENSGALG00000045540	231	541	542	415
ENSGALG00000051297	430	790	940	537
ENSGALG00000042023	620	1195	1117	853
ENSGALG00000047594	5	12	22	15
ENSGALG00000049206	5	9	9	19
ENSGALG00000029624	85	27	89	98
ENSGALG00000038527	46	26	20	41
ENSGALG00000052679	5	2	0	7
ENSGALG00000046962	0	3	0	2
ENSGALG00000042611	871	1083	904	630
ENSGALG00000048560	0	0	3	0
ENSGALG00000050315	1813	1909	1706	1355
ENSGALG00000048857	2	1	2	1
ENSGALG00000049873	41	22	24	20
ENSGALG00000053510	393	385	343	263
ENSGALG00000050833	1	0	0	1
ENSGALG00000051677	36	20	28	37
ENSGALG00000031626	1	0	0	1
ENSGALG00000041494	386	409	610	547
ENSGALG00000039682	0	0	0	2
ENSGALG00000038044	390	477	324	312
ENSGALG00000032458	1077	1356	1136	1074
ENSGALG00000047768	14	3	0	7
ENSGALG00000035824	120	69	212	343
ENSGALG00000034366	1	0	0	2
ENSGALG00000050523	0	0	0	0
ENSGALG00000033919	48	41	22	29
ENSGALG00000034440	0	0	0	0
ENSGALG00000038707	0	0	0	0
ENSGALG00000051055	4	4	2	2
ENSGALG00000052929	2	0	0	1
ENSGALG00000054904	1	0	2	1
ENSGALG00000053146	0	0	0	0
ENSGALG00000051631	0	0	0	0
ENSGALG00000047599	0	0	0	0
ENSGALG00000054762	0	0	0	0
ENSGALG00000053751	0	0	0	0
ENSGALG00000046797	0	1	0	4
ENSGALG00000050267	8	12	8	11
ENSGALG00000047194	1	0	0	0
ENSGALG00000048328	0	0	0	2
ENSGALG00000031473	0	1	3	0
ENSGALG00000054662	1	0	0	0
ENSGALG00000048059	3	0	0	3
ENSGALG00000053846	32	24	13	20
ENSGALG00000048724	0	0	0	1
ENSGALG00000054163	0	2	1	1
ENSGALG00000051962	0	0	0	0
ENSGALG00000047166	2	0	4	5
ENSGALG00000048258	23	43	13	38
ENSGALG00000054512	5	2	2	6
ENSGALG00000050846	2	0	0	1
ENSGALG00000053334	1	0	1	0
ENSGALG00000034086	0	0	0	0
ENSGALG00000051114	0	0	0	0
ENSGALG00000054903	0	0	0	0
ENSGALG00000050519	0	0	0	0
ENSGALG00000049223	0	0	0	0
ENSGALG00000048878	0	0	0	3
ENSGALG00000049687	0	0	0	4
ENSGALG00000053590	1	2	2	2
ENSGALG00000054297	1	0	1	7
ENSGALG00000049264	804	783	706	539
ENSGALG00000043476	1306	1298	1189	876
ENSGALG00000033149	77	67	51	50
ENSGALG00000043771	224	261	176	233
ENSGALG00000029341	140	278	248	297
ENSGALG00000035085	0	0	0	1
ENSGALG00000043178	9	11	14	18
ENSGALG00000041965	0	3	0	1
ENSGALG00000041528	9	20	15	19
ENSGALG00000054793	517	487	438	563
ENSGALG00000046885	41	23	33	46
ENSGALG00000039982	10	3	3	4
ENSGALG00000039420	4	10	4	34
ENSGALG00000051854	557	550	639	646
ENSGALG00000036114	172	86	59	62
ENSGALG00000032868	385	252	220	220
ENSGALG00000038520	83	156	96	154
ENSGALG00000047596	80	94	196	101
ENSGALG00000040060	231	263	205	221
ENSGALG00000054860	0	0	0	0
ENSGALG00000048065	0	0	0	0
ENSGALG00000024492	0	0	0	0
ENSGALG00000031975	4163	4111	4795	3720
ENSGALG00000008003	1349	1519	1087	1103
ENSGALG00000027129	0	0	0	0
ENSGALG00000008013	335	367	382	459
ENSGALG00000028816	0	0	0	1
ENSGALG00000036140	4	14	7	0
ENSGALG00000008036	6300	7672	7215	7226
ENSGALG00000008048	0	0	1	0
ENSGALG00000027296	0	0	0	0
ENSGALG00000008087	0	0	1	0
ENSGALG00000008103	1572	1389	1457	1223
ENSGALG00000008111	824	1089	843	723
ENSGALG00000008144	3727	4610	4229	4533
ENSGALG00000008153	46	21	37	46
ENSGALG00000008162	98	121	180	274
ENSGALG00000008168	306	211	215	235
ENSGALG00000008169	7309	8073	9425	12534
ENSGALG00000055101	43	66	57	39
ENSGALG00000053060	0	1	0	0
ENSGALG00000008401	341	333	366	333
ENSGALG00000008424	0	1	1	0
ENSGALG00000008437	3341	4674	3666	4441
ENSGALG00000050230	35	111	90	91
ENSGALG00000047026	141	194	121	120
ENSGALG00000008444	471	640	504	407
