




Analysis Type:	PANTHER Overrepresentation Test (Released 20210224)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.4437524 Released 2021-01-01
Analyzed List:	Client Text Box Input (Gallus gallus)
Reference List:	Gallus gallus (all genes in database)
Test Type:	FISHER
Correction:	NONE
GO biological process complete	Gallus gallus - REFLIST (17887)	Client Text Box Input (38)	Client Text Box Input (expected)	Client Text Box Input (over/under)	Client Text Box Input (fold Enrichment)	Client Text Box Input (raw P-value)
positive regulation of termination of RNA polymerase II transcription, poly(A)-coupled (GO:2000806)	1	1	.00	+	 > 100	4.24E-03
commissural neuron differentiation in spinal cord (GO:0021528)	1	1	.00	+	 > 100	4.24E-03
ovarian follicle rupture (GO:0001543)	1	1	.00	+	 > 100	4.24E-03
negative regulation of corticotropin secretion (GO:0051460)	1	1	.00	+	 > 100	4.24E-03
histone H4-K20 demethylation (GO:0035574)	1	1	.00	+	 > 100	4.24E-03
positive regulation of termination of RNA polymerase II transcription (GO:1904595)	1	1	.00	+	 > 100	4.24E-03
negative regulation of corticotropin-releasing hormone receptor activity (GO:1900011)	1	1	.00	+	 > 100	4.24E-03
regulation of corticotropin-releasing hormone receptor activity (GO:1900010)	1	1	.00	+	 > 100	4.24E-03
negative regulation of lipoprotein oxidation (GO:0034443)	1	1	.00	+	 > 100	4.24E-03
regulation of lipoprotein oxidation (GO:0034442)	1	1	.00	+	 > 100	4.24E-03
negative regulation of lipoprotein lipid oxidation (GO:0060588)	1	1	.00	+	 > 100	4.24E-03
regulation of lipoprotein lipid oxidation (GO:0060587)	1	1	.00	+	 > 100	4.24E-03
positive regulation of DNA-templated transcription, termination (GO:0060566)	1	1	.00	+	 > 100	4.24E-03
prevention of polyspermy (GO:0060468)	2	1	.00	+	 > 100	6.35E-03
negative regulation of fertilization (GO:0060467)	2	1	.00	+	 > 100	6.35E-03
regulation of termination of RNA polymerase II transcription, poly(A)-coupled (GO:2000804)	2	1	.00	+	 > 100	6.35E-03
cell cycle switching (GO:0060184)	2	1	.00	+	 > 100	6.35E-03
histone H3-K27 demethylation (GO:0071557)	2	1	.00	+	 > 100	6.35E-03
negative regulation of binding of sperm to zona pellucida (GO:2000360)	2	1	.00	+	 > 100	6.35E-03
regulation of binding of sperm to zona pellucida (GO:2000359)	2	1	.00	+	 > 100	6.35E-03
germline cell cycle switching, mitotic to meiotic cell cycle (GO:0051729)	2	1	.00	+	 > 100	6.35E-03
cell cycle switching, mitotic to meiotic cell cycle (GO:0051728)	2	1	.00	+	 > 100	6.35E-03
negative regulation of cortisol biosynthetic process (GO:2000065)	2	1	.00	+	 > 100	6.35E-03
negative regulation of aldosterone biosynthetic process (GO:0032348)	2	1	.00	+	 > 100	6.35E-03
negative regulation of aldosterone metabolic process (GO:0032345)	2	1	.00	+	 > 100	6.35E-03
regulation of DNA-templated transcription, termination (GO:0031554)	2	1	.00	+	 > 100	6.35E-03
allantois development (GO:1905069)	2	1	.00	+	 > 100	6.35E-03
regulation of termination of RNA polymerase II transcription (GO:1904594)	2	1	.00	+	 > 100	6.35E-03
extraembryonic membrane development (GO:1903867)	2	1	.00	+	 > 100	6.35E-03
anterior head development (GO:0097065)	2	1	.00	+	 > 100	6.35E-03
neural fold elevation formation (GO:0021502)	3	1	.01	+	 > 100	8.45E-03
neuroblast differentiation (GO:0014016)	3	1	.01	+	 > 100	8.45E-03
negative regulation of glucocorticoid biosynthetic process (GO:0031947)	3	1	.01	+	 > 100	8.45E-03
negative regulation of glucocorticoid metabolic process (GO:0031944)	3	1	.01	+	 > 100	8.45E-03
cellular response to potassium ion (GO:0035865)	3	1	.01	+	 > 100	8.45E-03
response to potassium ion (GO:0035864)	3	1	.01	+	 > 100	8.45E-03
negative regulation of inner ear receptor cell differentiation (GO:2000981)	4	1	.01	+	 > 100	1.06E-02
negative regulation of mechanoreceptor differentiation (GO:0045632)	4	1	.01	+	 > 100	1.06E-02
negative regulation of inner ear auditory receptor cell differentiation (GO:0045608)	4	1	.01	+	 > 100	1.06E-02
specification of loop of Henle identity (GO:0072086)	4	1	.01	+	 > 100	1.06E-02
comma-shaped body morphogenesis (GO:0072049)	4	1	.01	+	 > 100	1.06E-02
negative regulation of steroid hormone biosynthetic process (GO:0090032)	4	1	.01	+	 > 100	1.06E-02
negative regulation of lipoprotein metabolic process (GO:0050748)	4	1	.01	+	 > 100	1.06E-02
negative regulation of insulin-like growth factor receptor signaling pathway (GO:0043569)	4	1	.01	+	 > 100	1.06E-02
egg activation (GO:0007343)	5	1	.01	+	94.14	1.27E-02
specification of nephron tubule identity (GO:0072081)	5	1	.01	+	94.14	1.27E-02
proximal/distal pattern formation involved in nephron development (GO:0072047)	5	1	.01	+	94.14	1.27E-02
positive regulation by host of viral genome replication (GO:0044829)	5	1	.01	+	94.14	1.27E-02
termination of RNA polymerase II transcription (GO:0006369)	5	1	.01	+	94.14	1.27E-02
regulation of cortisol biosynthetic process (GO:2000064)	5	1	.01	+	94.14	1.27E-02
regulation of aldosterone biosynthetic process (GO:0032347)	5	1	.01	+	94.14	1.27E-02
regulation of aldosterone metabolic process (GO:0032344)	5	1	.01	+	94.14	1.27E-02
cell communication by electrical coupling (GO:0010644)	5	1	.01	+	94.14	1.27E-02
paramesonephric duct development (GO:0061205)	5	1	.01	+	94.14	1.27E-02
osteoclast fusion (GO:0072675)	5	1	.01	+	94.14	1.27E-02
positive regulation of non-motile cilium assembly (GO:1902857)	5	1	.01	+	94.14	1.27E-02
regulation of inner ear receptor cell differentiation (GO:2000980)	6	1	.01	+	78.45	1.47E-02
regulation of mechanoreceptor differentiation (GO:0045631)	6	1	.01	+	78.45	1.47E-02
regulation of inner ear auditory receptor cell differentiation (GO:0045607)	6	1	.01	+	78.45	1.47E-02
metanephric nephron tubule morphogenesis (GO:0072282)	6	1	.01	+	78.45	1.47E-02
neural fold formation (GO:0001842)	6	1	.01	+	78.45	1.47E-02
S-shaped body morphogenesis (GO:0072050)	6	1	.01	+	78.45	1.47E-02
renal system pattern specification (GO:0072048)	6	1	.01	+	78.45	1.47E-02
ovulation from ovarian follicle (GO:0001542)	6	1	.01	+	78.45	1.47E-02
regulation of glucocorticoid biosynthetic process (GO:0031946)	6	1	.01	+	78.45	1.47E-02
negative regulation of astrocyte differentiation (GO:0048712)	6	1	.01	+	78.45	1.47E-02
regulation of corticotropin secretion (GO:0051459)	6	1	.01	+	78.45	1.47E-02
behavioral response to ethanol (GO:0048149)	6	1	.01	+	78.45	1.47E-02
positive regulation of execution phase of apoptosis (GO:1900119)	6	1	.01	+	78.45	1.47E-02
anterior commissure morphogenesis (GO:0021960)	6	1	.01	+	78.45	1.47E-02
multinuclear osteoclast differentiation (GO:0072674)	6	1	.01	+	78.45	1.47E-02
pattern specification involved in kidney development (GO:0061004)	6	1	.01	+	78.45	1.47E-02
regulation of fertilization (GO:0080154)	6	1	.01	+	78.45	1.47E-02
regulation of non-motile cilium assembly (GO:1902855)	6	1	.01	+	78.45	1.47E-02
loop of Henle development (GO:0072070)	7	1	.01	+	67.24	1.68E-02
regulation of glucocorticoid metabolic process (GO:0031943)	7	1	.01	+	67.24	1.68E-02
negative regulation of hormone biosynthetic process (GO:0032353)	7	1	.01	+	67.24	1.68E-02
negative regulation of hormone metabolic process (GO:0032351)	7	1	.01	+	67.24	1.68E-02
centriole-centriole cohesion (GO:0010457)	7	1	.01	+	67.24	1.68E-02
negative regulation of epidermis development (GO:0045683)	8	1	.02	+	58.84	1.89E-02
negative regulation of epidermal cell differentiation (GO:0045605)	8	1	.02	+	58.84	1.89E-02
mesonephric duct development (GO:0072177)	8	1	.02	+	58.84	1.89E-02
metanephric tubule morphogenesis (GO:0072173)	8	1	.02	+	58.84	1.89E-02
positive regulation by host of viral process (GO:0044794)	8	1	.02	+	58.84	1.89E-02
negative regulation of multi-organism process (GO:0043901)	8	1	.02	+	58.84	1.89E-02
negative regulation of oligodendrocyte differentiation (GO:0048715)	8	1	.02	+	58.84	1.89E-02
ovulation (GO:0030728)	8	1	.02	+	58.84	1.89E-02
positive regulation of chromatin binding (GO:0035563)	8	1	.02	+	58.84	1.89E-02
pericardium morphogenesis (GO:0003344)	8	1	.02	+	58.84	1.89E-02
negative regulation of alcohol biosynthetic process (GO:1902931)	8	1	.02	+	58.84	1.89E-02
