,GeneStableID,GeneName,Gene description,baseMean,log2FoldChange,FoldChange,pvalue,padj,neglogpadj,Ctrl_rep1,Ctrl_rep2,dnBMPR1A_rep1,dnBMPR1A_rep2,lfcSE,stat
0,ENSGALG00000002003,BMPR1A,bone morphogenetic protein receptor type 1A [Source:NCBI gene;Acc:396308],25172.580163749903,5.64156809054359,49.920763374293365,7.535511363011017e-162,7.000490056237238e-158,157.15487155694714,832.3230550241991,1144.12807871085,43311.930288693104,55401.9392325716,0.208100269514444,27.109854800798303
2136,ENSGALG00000034661,ID1,"inhibitor of DNA binding 1, HLH protein [Source:NCBI gene;Acc:395282]",9043.87082112556,-2.26631443321192,0.20786021683523948,3.7106292910255596e-26,1.72358730568137e-22,21.763566713175475,16314.585451961699,13635.3472237647,3700.46620272825,2525.0844060475897,0.21421820471975897,-10.5794670260481
2246,ENSGALG00000028415,HES6-2,hairy and enhancer of split 6 (Drosophila) [Source:NCBI gene;Acc:424829],1245.58470117552,2.4366862424068,5.413967557467588,3.20157338016511e-18,9.914205567244618e-15,14.00374208040823,501.500979989264,276.10516185193296,2311.65424901379,1893.07841384709,0.279947549125172,8.704081353887121
2366,ENSGALG00000025817,NHLH1,nescient helix-loop-helix 1 [Source:NCBI gene;Acc:373910],675.106579791006,2.6520736370231,6.285700955469399,2.0795076637603e-14,4.8296565490832896e-11,10.31608375209349,263.393371843101,108.04115028988701,1116.91208795813,1212.0797090729,0.346875171640996,7.64561390910936
2416,ENSGALG00000039474,ID4,"inhibitor of DNA binding 4, HLH protein [Source:NCBI gene;Acc:374150]",947.217038337926,-1.92212265151923,0.26386599574189334,8.97410723013307e-13,1.6673891233587197e-09,8.7779630358009,1843.75360290171,1154.2857936953699,387.128805147479,403.699951607143,0.269001802859089,-7.14538947728202
2926,ENSGALG00000009129,DLX5,distal-less homeobox 5 [Source:NCBI gene;Acc:373969],751.507768327884,-1.54106646455766,0.3436313425283458,8.543052966578859e-11,1.2095974382230802e-07,6.917359141623588,1127.3236314884698,1109.96121921747,369.945542255815,398.800680349775,0.237426339870276,-6.4907139848075
3806,ENSGALG00000001136,HES5-3,hairy and enhancer of split 5-like [Source:NCBI gene;Acc:419390],33872.7917503253,1.55093628577928,2.930072344606159,9.114297166374121e-11,1.2095974382230802e-07,6.917359141623588,22099.757471123597,12376.7139943193,53564.2735539956,47450.4219818629,0.23930669719982,6.48095646267792
3926,ENSGALG00000033178,KLF6,Kruppel like factor 6 [Source:NCBI gene;Acc:420463],1161.2920274448402,1.3856374468906298,2.612873803122482,2.0659642331626e-10,2.39910096576007e-07,6.619951474437438,598.429740827526,687.030904407486,1626.3452936874498,1733.3621708568899,0.21799243582124397,6.35635563073788
4094,ENSGALG00000006995,APOD,apolipoprotein D [Source:NCBI gene;Acc:424893],2508.6439052751,1.3890159507607298,2.6189998022576946,2.7508484989083304e-10,2.8394869505398197e-07,6.546760122867675,1150.50224821067,1621.5406829832598,3870.2772713046897,3392.25541860177,0.220052362602369,6.31220648728348
4550,ENSGALG00000013573,ALG2,"ALG2, alpha-1,3/1,6-mannosyltransferase [Source:NCBI gene;Acc:420998]",2218.69893791809,-1.18667610223076,0.439313852885529,4.44715658795981e-10,4.13140847021467e-07,6.383901864430236,3164.9347560666997,3001.14306360797,1326.14358316839,1382.5743488293201,0.19024971004345603,-6.237466022732461
